pl_name,pl_letter,pl_orbper,pl_trandep,pl_rade,pl_eqt,pl_trandur,st_rad,st_mass,st_teff,st_logg,ra,dec
HATS-11 b,b,3.6191546,,,,,1.444,1.0,6060.0,4.118,289.4007603,-22.3900092
K2-39 b,b,4.60547,,6.4,1550.0,,3.08,1.38,4915.0,3.58,338.3682095,-9.0229405
HATS-12 b,b,3.14324025965,0.49689754,,1244.27,4.3767436,,,5780.0,4.438,289.202402,-19.3559227
EPIC 206061524.01,,5.87672094142,1.01673987,8.02139241,694.8,2.4735452,0.807445,,4111.0,4.43205,335.057616,-13.1147717
K2-329 b,b,12.45636917022,1.03526424,8.7723254,670.39,3.6674288,0.843307,,5278.0,4.54274,351.1353785,-5.1641451
EPIC 216231580.01,,3.90723655504,1.7049263,15.34164425,1199.33,3.2205284,1.17027,,5500.0,4.28377,295.157014,-22.7217407
K2-39 b,b,4.60808540736,0.04355578,7.04461252,1124.99,8.9037215,3.12057,,4911.0,4.438,338.3682095,-9.0229405
HATS-36 b,b,4.17471430219,1.40266941,13.70940899,1185.55,3.8092867,1.08854,,5859.0,4.38969,291.4787013,-23.2028183
HATS-9 b,b,1.91552575756,0.73831867,13.74175585,1764.73,3.5663951,1.58042,,5494.0,4.02415,290.8101704,-20.1663771
EPIC 218621322.01,,11.5843558517,0.2500558,5.49928933,651.38,3.4607621,1.09295,,5631.0,4.36,285.4688322,-18.4681649
EPIC 219388192.01,,5.29136017752,1.12532759,11.52204139,1027.17,3.5122145,1.03676,,5555.0,4.39749,289.3917955,-16.8717267
K2-214 b,b,8.596724,,2.5,,3.7296,1.29,,,,14.8759777,4.2277722
K2-220 b,b,13.683038,,2.3,,3.12,0.99,,,,12.7700071,9.5167694
K2-117 c,c,5.443984,,2.1,,2.1792,0.52,,,,133.8557342,10.4692176
K2-111 b,b,5.35161,,2.09,,4.1592,1.17,,5788.0,4.224,59.8903081,21.2985263
K2-31 b,b,1.25785,,11.88154,,0.9816,0.78,0.91,5280.0,4.6,245.4405531,-23.548273
WASP-47 b,b,4.16071,,12.9,,,1.16,1.11,5576.0,4.354,331.203092,-12.019067
WASP-47 d,d,9.095,,3.71,,,1.16,1.11,5576.0,4.354,331.203092,-12.019067
WASP-47 e,e,0.789636,,1.82,,,1.16,1.11,5576.0,4.354,331.203092,-12.019067
K2-127 b,b,3.588158,,9.1,,2.1888,0.75,,,,207.0782895,-11.5889878
K2-121 b,b,5.185972,1.263,,,2.148,0.649127,0.74,4664.8,4.68264,126.9366624,17.5793267
K2-117 b,b,1.291651,,2.1,,1.1904,0.52,,,,133.8557342,10.4692176
K2-100 b,b,1.67344228,0.086,,,2.125,1.21742,1.153,6115.49,4.32901,129.6010863,20.1060074
K2-117 c,c,5.44425,,1.94,,,0.513,0.532,3676.0,4.747,133.8557342,10.4692176
K2-98 b,b,10.13892836,0.095,,,5.371,1.50696,1.23,6283.0,4.17177,126.4882114,11.5110933
K2-85 b,b,0.68458757,0.027,,,0.912,0.734112,0.66,4222.0,4.52609,59.464829,18.4649505
K2-27 b,b,6.77093147,0.267,,,3.032,0.89254,0.89,5231.0,4.4862,171.5151874,1.2306237
K2-55 b,b,2.84947127,0.372,,,2.093,0.737576,0.669,4279.0,4.52788,333.7518786,-17.2508002
K2-61 b,b,2.573413,,1.93284331,,,1.015751,1.030202,5761.0,4.38,339.6748444,-13.5600447
K2-62 c,c,16.197201,,1.89069587,,,0.647947,0.684147,4636.0,4.7,334.3645089,-12.1874776
EPIC 220674823 c,c,13.341245,,2.53,,,0.83,0.93,5590.0,4.56,13.0800239,10.7947051
K2-27 b,b,6.771315,,4.48,902.0,,0.885,0.866,5248.0,4.48,171.5151874,1.2306237
K2-32 d,d,31.7154,,3.43,537.0,,0.845,0.856,5275.0,4.49,252.426008,-19.5430504
K2-189 c,c,6.67934,,2.48429818,,,0.862285,0.927528,5503.0,4.61,203.6214411,-15.0365158
