toi,tid,tfopwg_disp,toipfx,st_tmag,st_rad,st_teff,st_logg,st_dist,toi_created,ra,dec
1138.01,110428269,FP,1138,8.90601,2.59,9994.0,4.02,395.12,2019-09-03 15:31:11,291.463084,25.189437
1079.01,379240073,PC,1079,13.1284,1.7234,6519.0,4.22068,1179.27,2019-08-16 20:20:49,283.119492,-55.387928
108.01,289793076,KP,108,13.163,0.809868,5523.0,4.52192,421.855,2018-09-05 18:49:20,316.96148,-26.09672
1080.01,161032923,PC,1080,12.7067,0.199988,3296.0,4.96636,25.559,2019-08-16 20:20:43,276.368325,-52.214573
1081.01,253728991,PC,1081,11.5247,1.23975,6027.0,4.29978,354.05,2019-08-16 20:20:44,282.140409,-40.11177
1082.01,261108236,PC,1082,11.8835,0.649613,4310.0,4.57345,100.248,2019-08-16 20:20:45,83.275809,-80.815478
1083.01,322270620,PC,1083,12.0936,0.491323,3614.0,4.81257,68.9109,2019-08-16 20:20:47,296.822194,-87.32281
1084.01,380589029,KP,1084,12.2851,1.14759,6346.0,4.38484,494.182,2019-08-16 20:20:49,268.890707,-61.7474
1085.01,381979901,APC,1085,11.6577,1.28,6102.0,4.28649,444.066,2019-08-16 20:20:49,77.605399,-59.535664
1086.01,468148930,PC,1086,12.2303,2.0840001,5818.0,4.33787,736.397,2019-08-16 20:20:50,305.56982,-88.568495
1087.01,426077080,FP,1087,9.4142,3.09,6907.0,3.63,416.25,2019-08-06 19:30:24,238.001011,-76.49349
1088.01,343648136,FA,1088,10.4613,1.4,6093.0,4.2,240.901,2019-08-06 19:30:24,272.311383,-76.300955
1089.01,129319156,FP,1089,10.3918,2.48,11600.0,4.13,778.127,2019-08-06 19:30:00,228.84306,-52.885989
109.01,29344935,KP,109,13.2366,0.984866,5346.0,4.48823,513.011,2018-09-05 18:34:19,313.215475,-25.687376
1090.01,361034196,FP,1090,10.0196,2.95,7009.8,3.6,566.502,2019-08-06 19:30:00,242.016315,-68.588832
1091.01,193413306,PC,1091,9.3529,2.39,7348.0,3.9,321.671,2019-08-06 19:29:59,222.101134,-56.025931
1092.01,387079085,FP,1092,9.0039,2.04,6534.0,3.95,209.919,2019-08-06 19:29:59,217.022882,-64.634285
1093.01,382331352,FP,1093,10.0067,,,,1710.22,2019-08-06 19:29:59,215.805264,-63.045983
1094.01,136274063,APC,1094,9.9806,2.28,7710.0,3.98,426.003,2019-08-06 19:29:59,230.498827,-53.819601
1095.01,375223080,PC,1095,10.4291,2.6647301,7066.0,3.78,582.521,2019-08-12 16:22:54,133.968965,-75.926187
1096.01,375225453,FP,1096,10.11,2.8908899,6553.0,3.65,490.288,2019-08-12 16:22:54,133.826684,-73.173308
1097.01,360630575,CP,1097,8.7215,0.98,5876.0,4.48,79.5561,2019-08-12 16:22:54,189.775859,-74.57402
1097.02,360630575,CP,1097,8.7215,0.983215,5876.0,4.48,79.5561,2022-03-24 22:19:26,189.775859,-74.57402
1098.01,383390264,CP,1098,8.7581,1.14582,6153.0,4.34814,105.096,2019-08-16 20:20:49,192.589285,-88.121111
1099.01,290348383,CP,1099,7.3661,0.8,4867.0,4.438,23.606,2019-08-16 20:20:46,328.718171,-77.338802
110.01,281459670,KP,110,11.6714,1.15706,5943.0,4.42524,342.14,2018-11-14 15:06:55,5.618525,-59.942589
1100.01,318608749,FP,1100,10.5135,1.14849,6033.0,4.37,205.43,2019-08-15 15:39:13,9.126138,-83.567067
1101.01,271581073,FP,1101,10.5891,1.56,5803.5,4.07,262.794,2019-08-15 15:39:15,319.551469,-77.529113
1102.01,311890977,FP,1102,10.5652,0.63,4138.1,4.54,58.0624,2019-08-15 15:39:15,263.003209,-76.858265
1103.01,351603103,PC,1103,10.5598,3.13,4437.0,,320.212,2019-08-15 15:39:13,310.086743,-63.789963
1104.01,451599528,FP,1104,7.5622,1.39203,6058.6,4.2,70.0154,2019-08-15 15:39:15,279.721286,-85.709137
1105.01,274151135,PC,1105,10.2809,0.76,4664.0,4.55,79.5225,2019-08-15 15:39:14,146.053969,-89.471513
1106.01,384513078,PC,1106,10.0717,4.94,5042.0,,523.425,2019-08-15 15:39:13,253.110033,-79.135182
1107.01,394561119,CP,1107,10.0068,1.74836,6501.0,4.08,281.314,2019-08-15 15:39:15,155.607863,-82.218869
1108.01,295599256,FP,1108,9.941,1.91,7860.0,4.15,417.08,2019-08-15 15:39:15,274.221618,-68.197779
1109.01,50309953,FP,1109,9.7906,0.91,5317.0,4.49,102.238,2019-08-15 15:39:14,30.198486,-77.610376
111.01,355703913,KP,111,13.183,0.940697,5380.0,4.4337,508.842,2018-10-22 18:35:39,0.774487,-62.469317
1110.01,446549905,FP,1110,9.6789,1.64,6610.0,4.15,243.838,2019-08-15 15:39:14,286.791829,-58.697242
1111.01,412014494,FP,1111,9.3871,2.13,7262.0,4.0,312.461,2019-08-15 15:39:14,291.373783,-60.941042
