flux,flux_err,timecorr,cadenceno,centroid_col,centroid_row,sap_flux,sap_flux_err,sap_bkg,sap_bkg_err,pdcsap_flux,pdcsap_flux_err,quality,psf_centr1,psf_centr1_err,psf_centr2,psf_centr2_err,mom_centr1,mom_centr1_err,mom_centr2,mom_centr2_err,pos_corr1,pos_corr2
9548.64,13.041536,0.0015593645,165542,948.7478280904223,870.6292639250464,9060.296,12.045244,1304.0676,4.7218294,9548.64,13.041536,0,,,,,948.7478280904223,0.0011164246,870.6292639250464,0.0011374997,0.022197608,-0.033623092
9526.059,13.02195,0.0015593435,165543,948.7489608161171,870.6215028770538,9035.403,12.027154,1298.9391,4.7163854,9526.059,13.02195,0,,,,,948.7489608161171,0.0011178474,870.6215028770538,0.0011375801,0.02178621,-0.043965258
9550.05,13.051231,0.0015593225,165544,948.7461855300074,870.6350603783875,9059.416,12.054198,1298.2147,4.734861,9550.05,13.051231,0,,,,,948.7461855300074,0.0011175424,870.6350603783875,0.0011367485,0.021153146,-0.027140217
9560.812,13.04963,0.0015593015,165545,948.7478563201136,870.6292668996327,9069.975,12.05272,1295.2288,4.738848,9560.812,13.04963,0,,,,,948.7478563201136,0.0011151533,870.6292668996327,0.0011358944,0.024070576,-0.036363386
9554.4375,13.0406065,0.0015592806,165546,948.7448200350168,870.6236398058293,9059.688,12.044385,1303.063,4.7231627,9554.4375,13.0406065,0,,,,,948.7448200350168,0.0011167648,870.6236398058293,0.0011381246,0.017554265,-0.042017978
9527.397,13.029979,0.0015592596,165547,948.7484433280574,870.628024198976,9035.741,12.034569,1304.6514,4.719162,9527.397,13.029979,0,,,,,948.7484433280574,0.0011175052,870.628024198976,0.0011409112,0.022477493,-0.03437649
9547.499,13.0367155,0.0015592385,165548,948.7482774744192,870.627179676489,9058.46,12.0407915,1298.0631,4.716861,9547.499,13.0367155,0,,,,,948.7482774744192,0.0011159156,870.627179676489,0.0011377722,0.020950997,-0.037010096
9532.089,13.03306,0.0015592176,165549,948.7480209332896,870.6287700454526,9042.302,12.037415,1300.3544,4.7215548,9532.089,13.03306,0,,,,,948.7480209332896,0.001116285,870.6287700454526,0.001138744,0.02128744,-0.03468215
9559.929,13.044476,0.0015591966,165550,948.7472848787995,870.6326104627389,9070.722,12.047958,1301.0804,4.711897,9559.929,13.044476,0,,,,,948.7472848787995,0.001115856,870.6326104627389,0.0011365003,0.019807156,-0.03161866
9545.0,13.035439,0.0015591756,165551,948.7519630150855,870.622069298634,9054.501,12.039612,1295.1145,4.728399,9545.0,13.035439,0,,,,,948.7519630150855,0.0011156066,870.622069298634,0.0011382557,0.025518164,-0.043300383
