kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_period,koi_depth,koi_prad,koi_teq,koi_insol,koi_steff,koi_srad,koi_smass,koi_slogg,koi_count,koi_num_transits,koi_max_sngle_ev,koi_max_mult_ev,koi_impact,koi_duration,koi_ingress,koi_dor,koi_period_log,koi_prad_category,koi_steff_category,stellar_density
K02515.01,,FALSE POSITIVE,FALSE POSITIVE,164.57506747,421.1,2.39,878.0,141.6,5767.0,1.0,0.974,4.438,1,143.0,5.5897505,19.2544115,0.537,9.57,,15.46,5.109424671860014,Sub-Neptune,G-dwarf,0.974
K02568.01,,FALSE POSITIVE,FALSE POSITIVE,1.71030803,216.0,1.32,1449.0,1039.18,5790.0,0.9,0.998,4.528,1,785.0,3.6727057,17.590113,0.282,2.718,,4.721,0.9970622926389651,Earth-size,G-dwarf,1.3689986282578874
K02570.01,,FALSE POSITIVE,FALSE POSITIVE,79.9201319,1326.8,1.81,217.0,0.53,3812.0,0.476,0.484,4.767,2,14.0,7.61782,16.209805,0.623,4.482,,112.6,4.3934626423031595,Earth-size,K-dwarf,4.48770709470145
K02575.01,,FALSE POSITIVE,FALSE POSITIVE,199.3113,383.6,1.64,278.0,1.42,5662.0,0.789,0.859,4.577,1,143.0,5.5897505,19.2544115,0.689,6.43,,177.9,5.29987265645742,Earth-size,G-dwarf,1.748888629629892
K02584.01,,FALSE POSITIVE,FALSE POSITIVE,157.82131,192.3,1.59,377.0,4.75,6082.0,1.147,1.054,4.342,1,143.0,5.5897505,19.2544115,0.1495,12.42,,97.2,5.067779733764492,Earth-size,F-dwarf,0.6984741810970576
K03978.01,,FALSE POSITIVE,FALSE POSITIVE,2.28612573,301.6,22.63,1433.0,993.96,6063.0,1.012,1.117,4.476,1,476.0,3.1693442,22.687712,1.188,12.408,,1.228,1.1897092812081076,Jupiter-size,F-dwarf,1.0777341279267978
K02162.02,Kepler-1126 c,CONFIRMED,CANDIDATE,199.66876,251.9,1.45,305.0,2.06,5678.0,0.921,0.794,4.409,2,7.0,6.1517878,11.090614,0.046,8.996,,171.8,5.301655588479987,Earth-size,G-dwarf,1.0163460691953672
K03979.01,,FALSE POSITIVE,FALSE POSITIVE,1.33254971,158.3,1.36,1782.0,2377.19,6150.0,1.004,0.946,4.41,1,1007.0,4.1143613,24.163162,0.741,4.69,,1.72,0.8469619654093727,Earth-size,F-dwarf,0.9347382141724051
K03980.01,,FALSE POSITIVE,FALSE POSITIVE,0.5276763491099999,340.4,2.4,2432.0,8264.27,5888.0,1.008,0.918,4.394,1,1425.0,3.9126678,17.380436,0.95,0.8864,,1.806,0.42374785489901445,Sub-Neptune,G-dwarf,0.8963158676168881
K03981.01,,FALSE POSITIVE,FALSE POSITIVE,0.849277809,690.8,20.11,1781.0,2366.84,5743.0,0.853,0.949,4.553,1,1333.0,3.8453505,21.778708,1.187,3.137,,1.316,0.6147951893611442,Jupiter-size,G-dwarf,1.529040958104347
