orbital_period,transit_depth,planet_radius,koi_teq,koi_insol,stellar_teff,stellar_density,disposition
6.998099523,20285.0,172.5984999999994,853.0,125.22,5612.0,1.6253518691526312,FALSE POSITIVE
5.95489993,1410.7,2.33,635.0,38.52,4261.0,2.5232997457298447,CONFIRMED
12.03987488,1250.6,2.18,502.0,15.06,4261.0,2.5232997457298447,CONFIRMED
20.83762895,439.0,1.42,418.0,7.24,4261.0,2.5232997457298447,CONFIRMED
8.8111022,401.1,63.66,1399.0,904.92,6200.0,0.0959459747618364,FALSE POSITIVE
23.58917143,1200.7,3.16,487.0,13.34,4919.0,1.8596318850412603,CONFIRMED
6.481633073,298.5,2.54,1145.0,406.25,5945.0,0.45714946256748,CONFIRMED
10.37168928,1254.9,3.2,720.0,63.68,5121.0,1.17390491294801,CONFIRMED
3.96996298,299.2,1.78,992.0,229.37,5121.0,1.17390491294801,CONFIRMED
4.40841331,549.4,2.66,1139.0,398.0,6007.0,1.0906997015598858,CONFIRMED
7.9426176,1590.7,4.68,878.0,140.57,5811.0,1.3047484673160052,FALSE POSITIVE
226.8904775,3136.4,4.53,236.0,0.73,5067.0,1.8702222222222225,CONFIRMED
1.956811408,24905.0,21.58,1109.0,357.16,5209.0,2.7456460791875257,FALSE POSITIVE
2.688899233,37491.6,12.04,929.0,175.76,4820.0,2.679011644306865,CANDIDATE
9.439459486,3036.1,4.16,686.0,52.32,5097.0,1.884800251333777,CONFIRMED
11.523067458,507.3,3.13,927.0,174.81,5644.0,0.3748412089607776,CONFIRMED
20.47748843,1382.4,2.92,530.0,18.65,5097.0,1.884800251333777,CONFIRMED
3.336123113,516.3,1.74,970.0,209.79,5097.0,1.884800251333777,CONFIRMED
8.01078456,1333.6,1.72,453.0,9.9,3713.0,4.952178226404555,CONFIRMED
12.07134205,759.2,1.29,395.0,5.74,3713.0,4.952178226404555,CONFIRMED
20.99587872,767.3,1.3,328.0,2.74,3713.0,4.952178226404555,CONFIRMED
7.41113177,620.5,2.45,905.0,158.11,5849.0,1.3064458716110108,CONFIRMED
