toi,tid,tfopwg_disp,toipfx,st_tmag,st_rad,st_teff,st_logg,st_dist,toi_created,ra,dec
1084.01,380589029.0,KP,1084.0,12.2851,1.14759,6346.0,4.38484,494.182,2019-08-16 20:20:49,268.890707,-61.7474
1085.01,381979901.0,APC,1085.0,11.6577,1.28,6102.0,4.28649,444.066,2019-08-16 20:20:49,77.605399,-59.535664
1086.01,468148930.0,PC,1086.0,12.2303,2.0840001,5818.0,4.33787,736.397,2019-08-16 20:20:50,305.56982,-80.47376836
1087.01,426077080.0,FP,1087.0,9.4142,3.09,6907.0,3.63,416.25,2019-08-06 19:30:24,238.001011,-76.49349
1088.01,343648136.0,FA,1088.0,10.4613,1.4,6093.0,4.2,240.901,2019-08-06 19:30:24,272.311383,-76.300955
1089.01,129319156.0,FP,1089.0,10.3918,2.48,9598.49,4.13,778.127,2019-08-06 19:30:00,228.84306,-52.885989
173.0102,29344935.0,KP,173.0,13.2366,0.984866,5346.0,4.48823,513.011,2018-09-05 18:34:19,313.215475,-25.687376
1090.01,361034196.0,FP,1090.0,10.0196,2.95,7009.8,3.6,566.502,2019-08-06 19:30:00,242.016315,-68.588832
1091.01,193413306.0,PC,1091.0,9.3529,2.39,7348.0,3.9,321.671,2019-08-06 19:29:59,222.101134,-56.025931
1092.01,387079085.0,FP,1092.0,9.0039,2.04,6534.0,3.95,209.919,2019-08-06 19:29:59,217.022882,-64.634285
1093.01,382331352.0,FP,1093.0,10.0067,1.23434,5800.55,4.33,1710.22,2019-08-06 19:29:59,215.805264,-63.045983
1094.01,136274063.0,APC,1094.0,9.9806,2.28,7710.0,3.98,426.003,2019-08-06 19:29:59,230.498827,-53.819601
1095.01,375223080.0,PC,1095.0,10.4291,2.6647301,7066.0,3.78,582.521,2019-08-12 16:22:54,133.968965,-75.926187
1096.01,375225453.0,FP,1096.0,10.11,2.8908899,6553.0,3.65,490.288,2019-08-12 16:22:54,133.826684,-73.173308
1097.01,360630575.0,CP,1097.0,8.7215,0.98,5876.0,4.48,79.5561,2019-08-12 16:22:54,189.775859,-74.57402
1097.02,360630575.0,CP,1097.0,8.7215,0.983215,5876.0,4.48,79.5561,2022-03-24 22:19:26,189.775859,-74.57402
1098.01,383390264.0,CP,1098.0,8.7581,1.14582,6153.0,4.34814,105.096,2019-08-16 20:20:49,192.589285,-80.47376836
1099.01,290348383.0,CP,1099.0,7.3661,0.8,4867.0,4.438,23.606086,2019-08-16 20:20:46,328.718171,-77.338802
173.0102,281459670.0,KP,173.0,11.6714,1.15706,5943.0,4.42524,342.14,2018-11-14 15:06:55,5.618525,-59.942589
1100.01,318608749.0,FP,1100.0,10.5135,1.14849,6033.0,4.37,205.43,2019-08-15 15:39:13,9.126138,-80.47376836
1101.01,271581073.0,FP,1101.0,10.5891,1.56,5803.5,4.07,262.794,2019-08-15 15:39:15,319.551469,-77.529113
1102.01,311890977.0,FP,1102.0,10.5652,0.63,4138.1,4.54,58.0624,2019-08-15 15:39:15,263.003209,-76.858265
1103.01,351603103.0,PC,1103.0,10.5598,3.13,4437.0,4.33,320.212,2019-08-15 15:39:13,310.086743,-63.789963
1104.01,451599528.0,FP,1104.0,7.5622,1.39203,6058.6,4.2,70.0154,2019-08-15 15:39:15,279.721286,-80.47376836
1105.01,274151135.0,PC,1105.0,10.2809,0.76,4664.0,4.55,79.5225,2019-08-15 15:39:14,146.053969,-80.47376836
1106.01,384513078.0,PC,1106.0,10.0717,4.336771595999974,5042.0,4.33,523.425,2019-08-15 15:39:13,253.110033,-79.135182
1107.01,394561119.0,CP,1107.0,10.0068,1.74836,6501.0,4.08,281.314,2019-08-15 15:39:15,155.607863,-80.47376836
1108.01,295599256.0,FP,1108.0,9.941,1.91,7860.0,4.15,417.08,2019-08-15 15:39:15,274.221618,-68.197779
1109.01,50309953.0,FP,1109.0,9.7906,0.91,5317.0,4.49,102.238,2019-08-15 15:39:14,30.198486,-77.610376
173.0102,355703913.0,KP,173.0,13.183,0.940697,5380.0,4.4337,508.842,2018-10-22 18:35:39,4.63381522,-62.469317
1110.01,446549905.0,FP,1110.0,9.6789,1.64,6610.0,4.15,243.838,2019-08-15 15:39:14,286.791829,-58.697242
1111.01,412014494.0,FP,1111.0,9.3871,2.13,7262.0,4.0,312.461,2019-08-15 15:39:14,291.373783,-60.941042
1112.01,369864738.0,FP,1112.0,9.5162,2.21,6819.0,3.92,292.085,2019-08-15 15:39:13,163.628917,-80.47376836
1113.01,290348382.0,FP,1113.0,9.66865,0.53,3469.0,4.71,23.8853,2019-08-15 15:39:14,328.710839,-77.337433
1114.01,409934330.0,APC,1114.0,8.1129,1.23434,8048.0,4.438,174.475,2019-08-16 20:20:50,302.147728,-71.552443
1115.01,379286801.0,APC,1115.0,10.526,1.57,6708.3,4.2,359.215,2019-08-15 15:39:14,283.301843,-54.910806
1116.01,304100538.0,PC,1116.0,9.5268,0.906282,5551.0,4.46214,94.4178,2019-08-26 19:21:33,27.699972,-75.848774
1117.01,295541511.0,PC,1117.0,10.4055,1.02,5731.0,4.43,167.598,2019-08-15 15:39:15,273.602061,-66.419974
1118.01,90919952.0,FP,1118.0,10.5084,1.23434,4898.4,4.33,365.00800000000004,2019-08-22 14:42:10,277.432937,-44.625506
1119.01,261369656.0,APC,1119.0,10.5024,2.07,6456.0,3.92,421.518,2019-08-22 14:42:11,292.604815,-46.278074
173.0102,388104525.0,KP,173.0,11.6035,1.13732,5650.0,4.28867,302.448,2019-05-07 17:42:43,55.933639,-65.19378
1120.01,143257766.0,FP,1120.0,10.4063,1.64,7301.0,4.23,386.323,2019-08-22 14:42:11,293.389272,-45.892667
1121.01,24094603.0,FP,1121.0,11.0605,1.23434,5800.55,4.33,338.644,2019-08-22 14:42:11,269.648642,-46.065523
1122.01,304774444.0,FP,1122.0,10.2934,1.38,6317.0,4.33,249.826,2019-08-22 14:42:11,281.369481,-52.262928
1123.01,469782185.0,APC,1123.0,10.2398,1.27,5159.8,4.23,161.932,2019-08-22 14:42:10,292.391505,-37.304009
1124.01,128790976.0,APC,1124.0,7.356738,1.49,6690.0,4.24,75.7145,2019-08-22 14:42:10,300.212928,-43.982529
1125.01,80166433.0,PC,1125.0,8.0465,2.5027299,8271.0,3.95,237.593,2019-08-22 14:42:10,298.287708,-46.369991
173.0102,278683844.0,PC,173.0,9.2789,0.82,5332.0,4.56429,66.6187,2019-05-17 18:40:33,99.238421,-58.016153
1190.01,287196418.0,APC,1190.0,9.80529,1.63,7106.7,4.2,280.948,2019-08-27 16:09:24,292.734132,59.403853
1191.01,237185205.0,FP,1191.0,9.7831,2.21,6800.0,3.91,355.809,2019-08-27 16:09:24,283.526697,37.720014
1192.01,158276040.0,APC,1192.0,10.4999,1.28,6479.3,4.33,283.025,2019-09-17 20:42:51,286.550056,44.0808
1193.01,89643259.0,FP,1193.0,10.4813,1.87,7166.8,4.33,501.963,2019-09-03 15:31:12,301.41088,33.049205
1194.01,147950620.0,CP,1194.0,10.4782,0.99,5339.9,4.41,149.667,2019-08-27 16:09:25,167.821481,69.964775
1195.01,24364065.0,FP,1195.0,10.4717,3.85,4974.4,4.33,500.014,2019-09-03 15:31:11,291.12047,33.273702
1196.01,69068526.0,PC,1196.0,10.4318,2.06,6689.0,3.96,424.442,2019-09-03 15:31:11,291.707693,17.808736
